,metric,sample,value,cell_type_level,cell_type,hierarchy
8,recall,NL07,0.9856194690265486,cell_type_level_1,T cell,final_gate_1
9,recall,NL09,0.9838274932614556,cell_type_level_1,T cell,final_gate_1
10,f1score,NL01,0.9353618421052632,cell_type_level_1,T cell,final_gate_1
11,f1score,NL03,0.9583853211009175,cell_type_level_1,T cell,final_gate_1
12,f1score,NL05,0.9509364161849712,cell_type_level_1,T cell,final_gate_1
13,f1score,NL07,0.9567785234899329,cell_type_level_1,T cell,final_gate_1
14,f1score,NL09,0.9573073000145709,cell_type_level_1,T cell,final_gate_1
0,precision,NL01,0.9994713656387665,cell_type_level_1,T cell,final_gate_2
1,precision,NL03,0.9970849953973612,cell_type_level_1,T cell,final_gate_2
2,precision,NL05,0.9962302598064188,cell_type_level_1,T cell,final_gate_2
3,precision,NL07,0.9960740325294447,cell_type_level_1,T cell,final_gate_2
4,precision,NL09,0.9963470319634703,cell_type_level_1,T cell,final_gate_2
5,recall,NL01,0.9249836921069797,cell_type_level_1,T cell,final_gate_2
6,recall,NL03,0.981425551192993,cell_type_level_1,T cell,final_gate_2
7,recall,NL05,0.9417316767793509,cell_type_level_1,T cell,final_gate_2
8,recall,NL07,0.9823008849557522,cell_type_level_1,T cell,final_gate_2
9,recall,NL09,0.9802336028751123,cell_type_level_1,T cell,final_gate_2
10,f1score,NL01,0.9607859744219531,cell_type_level_1,T cell,final_gate_2
11,f1score,NL03,0.9891933028919329,cell_type_level_1,T cell,final_gate_2
12,f1score,NL05,0.9682146747202693,cell_type_level_1,T cell,final_gate_2
13,f1score,NL07,0.9891395154553049,cell_type_level_1,T cell,final_gate_2
14,f1score,NL09,0.9882246376811594,cell_type_level_1,T cell,final_gate_2
0,precision,NL01,0.9996467679265277,cell_type_level_1,T cell,final_gate_3
1,precision,NL03,0.9990750732233699,cell_type_level_1,T cell,final_gate_3
2,precision,NL05,0.9991796554552912,cell_type_level_1,T cell,final_gate_3
3,precision,NL07,0.9994353472614342,cell_type_level_1,T cell,final_gate_3
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_3
5,recall,NL01,0.9230267449445532,cell_type_level_1,T cell,final_gate_3
6,recall,NL03,0.9787073391724554,cell_type_level_1,T cell,final_gate_3
7,recall,NL05,0.9384570933256284,cell_type_level_1,T cell,final_gate_3
8,recall,NL07,0.9789823008849557,cell_type_level_1,T cell,final_gate_3
9,recall,NL09,0.9754417490266547,cell_type_level_1,T cell,final_gate_3
10,f1score,NL01,0.9598100729184331,cell_type_level_1,T cell,final_gate_3
11,f1score,NL03,0.9887863300022884,cell_type_level_1,T cell,final_gate_3
12,f1score,NL05,0.96786689843556,cell_type_level_1,T cell,final_gate_3
13,f1score,NL07,0.989103101424979,cell_type_level_1,T cell,final_gate_3
14,f1score,NL09,0.9875682231655549,cell_type_level_1,T cell,final_gate_3
0,precision,NL01,0.9997753313862053,cell_type_level_1,T cell,final_gate_4
1,precision,NL03,0.9993676889029403,cell_type_level_1,T cell,final_gate_4
2,precision,NL05,0.9995638901003053,cell_type_level_1,T cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_1,T cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_4
5,recall,NL01,0.7257012393998695,cell_type_level_1,T cell,final_gate_4
6,recall,NL03,0.9546964663243733,cell_type_level_1,T cell,final_gate_4
7,recall,NL05,0.8829817971684484,cell_type_level_1,T cell,final_gate_4
8,recall,NL07,0.9673672566371682,cell_type_level_1,T cell,final_gate_4
9,recall,NL09,0.9604672057502246,cell_type_level_1,T cell,final_gate_4
10,f1score,NL01,0.840971369176982,cell_type_level_1,T cell,final_gate_4
11,f1score,NL03,0.9765214704973741,cell_type_level_1,T cell,final_gate_4
12,f1score,NL05,0.9376630017898234,cell_type_level_1,T cell,final_gate_4
13,f1score,NL07,0.9834129884734326,cell_type_level_1,T cell,final_gate_4
14,f1score,NL09,0.9798350137488543,cell_type_level_1,T cell,final_gate_4
0,precision,NL01,0.9997753313862053,cell_type_level_1,T cell,final_gate_5
1,precision,NL03,0.9993676889029403,cell_type_level_1,T cell,final_gate_5
2,precision,NL05,0.9995638901003053,cell_type_level_1,T cell,final_gate_5
3,precision,NL07,1.0,cell_type_level_1,T cell,final_gate_5
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_5
5,recall,NL01,0.7257012393998695,cell_type_level_1,T cell,final_gate_5
6,recall,NL03,0.9546964663243733,cell_type_level_1,T cell,final_gate_5
7,recall,NL05,0.8829817971684484,cell_type_level_1,T cell,final_gate_5
8,recall,NL07,0.9673672566371682,cell_type_level_1,T cell,final_gate_5
